name,lat,lng,time
"Aschau (Chiemgau)",47.77905505,12.324453868503706,06:00-22:00
Aschersleben,51.7570033,11.4644674,07:00-21:00
"Bad Bentheim",52.3097332,7.1582889,07:00-21:00
"Bad Homburg",50.2208939,8.6201631,07:00-21:00
"Bad Kleinen",53.7666849,11.4661982,07:30-20:30
"Bad Oldesloe",53.8052678,10.3822381,06:35-21:25
"Bad Reichenhall",47.7313761,12.8818914,06:00-22:00
"Bergen auf Rügen",54.4207415,13.4186019,07:00-21:00
"Bernau b. Berlin",52.6753854,13.5919415,06:00-22:00
"Bingen (Rh) Hbf",49.96856315,7.8843381099093595,06:50-20:30
Büchen,49.5233328,9.3262846,07:30-20:35
Burgkunstadt,50.1379282,11.2430477,06:00-22:00
Bützow,53.836044,11.9964509,07:00-21:00
Celle,52.620867,10.0626059,07:00-21:00
"Cham (Oberpf.)",49.222504,12.6564425,06:00-21:00
"Coburg Nord",50.2715399,10.9649355,06:00-21:00
Creußen,49.849743,11.6283006,06:00-22:00
Doberlug-Kirchhain,51.620608,13.5642259,08:00-20:00
Ebersberg,48.075167449999995,11.969882661671623,06:00-22:00
"Eberswalde Hbf",52.8340052,13.7977826,06:00-22:00
Elsterwerda,51.4597205,13.517803,"Mo-Fr 07:00-15:30"
"Falkenberg (Elster)",51.5835919,13.2472604,06:00-20:00
Finsterwalde,51.6369946,13.710383,06:00-22:00
"Flughafen Leipzig/Halle",51.4233121,12.2236458,08:00-20:00
"Frankfurt (Main) Niederrad",50.0806938,8.6372258,07:00-21:00
"Frankfurt (Main) Stadion",50.0682137,8.6330468,07:00-21:00
Gemünden,50.0495975,9.7004066,09:00-18:00
"Grafing Bahnhof",48.0434247,11.940171,06:00-22:00
Greifswald,54.0929783,13.3705877,06:30-21:30
Günzburg,48.4604337,10.2786722,06:00-21:00
Güstrow,53.8006224,12.1722091,06:10-21:55
Gütersloh,51.9069041,8.3849458,06:20-21:00
Hamburg-Bergedorf,53.4898442,10.2065766,07:00-22:00
Hameln,52.10144055,9.373897933584708,07:00-21:00
Halberstadt,51.8993839,11.0733468,06:00-22:00
"Hannover Messe/Laatzen",52.3173696,9.7924818,07:00-21:00
Hartmannshof,49.4989261,11.5554761,06:00-20:00
"Jena West",50.9231945,11.5780972,08:00-18:00
Kaufbeuren,47.876178100000004,10.630022640165631,07:15-21:00
"Langenhagen Mitte",52.4400847,9.7252642,07:00-21:00
"Limburg (Lahn)",50.3844765,8.0621441,"06:40-12:15, 14:45-21:15"
"Limburg (Süd)",50.3827683,8.0957661,00:00-24:00
Lindau-Reutin,47.5522976,9.702514,"08:45-09:15, 10:45-11:15, 18:45-19:15"
Lippstadt,51.6706881,8.3483173,"Mo-Fr 10:00-18:00"
"Lüssow (Meckl)",53.843306,12.137659854895446,06:30-21:30
"Lutherstadt Wittenberg",51.8675201,12.6620632,06:00-22:00
Maxhütte-Haidhof,49.1979808,12.1072284,06:00-22:00
Memmingen,47.985407,10.1869867,06:45-21:15
Montabaur,50.4448297,7.8252239,06:30-21:30
"Mülheim (Ruhr) Hbf",51.4313214,6.8865323,08:00-20:00
"München Hbf tief",48.1407253,11.5569426,06:30-22:30
Murnau,47.6822471,11.193071064436218,06:00-22:00
